chapter_id,title_en,title_jp,title_romaji,arc,volume,viz_release_date,wsj_release_date_jp,wsj_issue,pages,summary_short_paraphrase,beats_predicate,characters_core,locations_core,threads_opened,threads_closed,source_url,source_attribution_title,source_attribution_author,source_license
11,Flight,敗走,,,2,,"October 6, 1997 [ref]",1997 Issue 45,19,"Zoro, having sliced Buggy into pieces, turns his back on him and prepares to break Luffy out of his cage. However, Buggy reveals the abilities of his Devil Fruit, the Bara Bara no Mi, by stabbing Zoro in the back with a disembodied hand. Zoro flips the cannon that was initially aimed at Luffy back at the Buggy Pirates.",[],"['Zoro', 'Buggy', 'Devil Fruit', 'Bara Bara no Mi', 'Buggy Pirates', 'Nami']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_11,Chapter 11 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
12,Dog,犬,,,2,,"October 13, 1997 [ref]",1997 Issue 46,19,"After escaping the Buggy Pirates, Zoro and Luffy rest in the middle of a street where the only inhabitant is a weird dog. While Nami comes back with the key for Luffys vice captain, then appears to kill Zoro. With his lion Richie, he attacks the defenseless Luffy and destroys the cage in the process, freeing Luffy.",[],"['Buggy Pirates', 'Zoro', 'Luffy', 'Nami', 'Mohji', 'Buggy', 'Richie']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_12,Chapter 12 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
13,Treasure,宝物,,,2,,"October 20, 1997 [ref]",1997 Issue 47,19,"Mohji and Richie destroy the pet shop guarded by Chouchou. Luffy defeats Mohji and brings Chouchou one bag of pet food, which is all that remains of his store. Nami realizes that Luffy is not a destructive pirate like Buggy.",[],"['Richie', 'Chouchou', 'Mohji', 'Nami', 'Luffy', 'pirate', 'Buggy']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_13,Chapter 13 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
14,Reckless,無謀っ!!,,,2,,"October 27, 1997 [ref]",1997 Issue 48,19,"Mohji returns to warn Buggy about Luffy, but collapses before he can give Buggy the full details. Back in the town, Nami s house where Zoro had been sleeping and destroys it. The swordsman emerges with no new injuries, and the mayor finally decides to stand up to the Buggy Pirates with Luffy, Zoro, and (reluctantly) Nami.",[],"['Mohji', 'Buggy', 'Luffy', 'Nami', 'mayor', 'Chouchou', 'Buggy Balls', 'Zoro', 'Buggy Pirates']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_14,Chapter 14 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
15,Gong,GONG,,,2,,"November 3, 1997 [ref]",1997 Issue 49,19,"Despite his courage, the mayor is no match against Buggy, but Luffy arrives in time to save him. With Nami going to search for treasure, Luffy knocks the mayor unconscious to keep him from getting in the way, as he and Zoro prepare to fight the Buggy Pirates.",[],"['mayor', 'Buggy', 'Luffy', 'Nami', 'Zoro', 'Buggy Pirates']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_15,Chapter 15 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
16,Versus Buggy's Crew,VERSUS !!バギー海賊団,,,2,,"November 10, 1997 [ref]",1997 Issue 50,17,"While Nami demands that Luffy explain what he is, Buggy and Cabaji emerge unharmed from the reflected cannonball attack by using their own crew as a shield. Mohji briefly regains consciousness before being knocked aside by both Buggy and Luffy. Cabaji goes to attack Luffy, but Zoro intercepts the attack.",[],"['Nami', 'Luffy', 'Buggy', 'Cabaji', 'Mohji', 'Zoro']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_16,Chapter 16 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
17,"High Level, Low Level",格,,,2,,"November 17, 1997 [ref]",1997 Issue 51,20,"As Zoro and Cabaji treasure while the crew is still unconscious, but asks Luffy to steal the Grand Line map from Buggy if he got the chance. Zoro then defeats Cabaji with his Oni Giri attack, only to collapse as he reveals they are pirates. Surprised by this, Buggy laughs at their desire to enter the Grand Line, before Luffy declares his intent to become the Pirate King.",[],"['Zoro', 'Nami', 'Buggy Pirates', 'Luffy', 'Grand Line', 'Cabaji', 'Oni Giri', 'Buggy', 'Pirate King', 'Shanks']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_17,Chapter 17 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
18,The Pirate Buggy the Clown,海賊”道化のバギー”,,,3,,"November 24, 1997 [ref]",1997 Issue 52,19,"With all the other pirates defeated, Buggy and Luffy prepare to fight. Luffy asks about Buggys ability gives them an advantage over the other, and onlookers become too afraid to enter such a dangerous battle. Finally Buggy lands a hit on Luffy's hat, enraging the young pirate.",[],"['Buggy', 'Luffy', 'Shanks']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_18,Chapter 18 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
19,Devil Fruit,悪魔の実,,,3,,"December 1, 1997 [ref]",1998 Issue 1,19,"Luffy, angry with Buggy 's treatment of his hat and that he was calling himself a comrade of Shanks, begins to fight again. Back at the encampment outside the town, the villagers grow worried for their mayor, and decide to go and help. Buggy finally loses his temper with Luffy, and has a flashback about his relationship with Shanks.",[],"['Luffy', 'Buggy', 'Shanks', 'mayor', 'Devil Fruit', 'Nami']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_19,Chapter 19 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
20,The Way of the Thief,泥棒道,,,3,,"December 8, 1997 [ref]",1998 Issue 2-3,19,"Just as Buggy is about to strike Nami, he suddenly collapses in pain, due to Luffy striking his lower body. Nami claims that the treasure is now hers, angering Buggy and provoking him to split into pieces and attack again. However, Luffy notices a flaw in Buggy's ability - while his body parts can fly, his feet remain on the ground.",[],"['Buggy', 'Nami', 'Luffy']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_20,Chapter 20 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
21,Townies,町,,,3,,"December 22, 1997 [ref]",1998 Issue 4-5,19,"After defeating the Buggy Pirates, Luffy, Zoro and Nami are about to depart with Buggy 's treasure, but the villagers arrive and ask about the pirates. Seeing that their mayor has been knocked out, they ask who did it, and Luffy admits it was him. While they are being chased out of the village, Chouchou helps them escape by holding back the villagers.",[],"['Buggy Pirates', 'Luffy', 'Zoro', 'Nami', 'Buggy', 'mayor', 'Chouchou']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_21,Chapter 21 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
22,Strange Creatures,あんたが珍獣,,,3,,"January 5, 1998 [ref]",1998 Issue 6,29,"Luffy and the others sail near an unpopulated island, and Luffy insists they will find somebody there. After discovering the island is filled with unusual hybrid animals, they are confronted by the islands positive attitude helps Gaimon get over his depression. Gaimon chooses to stay on the island and protect the animals rather than join Luffy's crew, and the young pirates leave for the next island.",[],"['Luffy', 'island', 'Nami', 'Gaimon']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_22,Chapter 22 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
23,The Dread Captain Usopp,キャプテン･ウソップ登場,,,3,,"January 12, 1998 [ref]",1998 Issue 7,19,"As Luffy, Zoro and Nami continue to sail through East Blue, Nami points out how unprepared they are for the Grand Line, and they decide to get a larger ship. As the perspective changes to a nearby island, Usopp is introduced, running through his village warning them of approaching pirates. When it is revealed he was lying, he is chased off by the villagers, and meets up with his Usopp Pirates further down the road.",[],"['Luffy', 'Zoro', 'Nami', 'East Blue', 'Grand Line', 'Usopp', 'Usopp Pirates', 'Tamanegi', 'bedridden girl']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_23,Chapter 23 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
24,The Lie Rejecter,偽れぬもの,,,3,,"January 19, 1998 [ref]",1998 Issue 8,19,"The Usopp Pirates (without Usopp ) approach the restaurant Tamanegi saw Usopp enter with the pirates, and confront Luffy, Zoro, and Nami over the fate of their captain. Learning that Usopp had gone to , the Usopp Pirates tell Luffy and the others about Usopps mansion to tell her stories, in an attempt to help brighten her spirits. However her butler, Klahadore, disapproves of Usopps group and the Usopp Pirates arrive just in time to see Klahadore insult Usopp down, before he strikes Klahadore and declares his pride at being the son of a pirate.",[],"['Usopp Pirates', 'Usopp', 'Tamanegi', 'Luffy', 'Zoro', 'Nami', 'Kaya', 'Klahadore']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_24,Chapter 24 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
25,Lies,ウソ800,,,3,,"January 26, 1998 [ref]",1998 Issue 9,19,"Kaya convinces Usopp to leave before he attacks Klahadore anymore, and Luffy and the others leave soon after. Depressed at what has happened, Kaya refuses to eat or speak, causing Klahadore to explain his motivations for protecting Kaya in an attempt to cheer her up. Zoro and Nami lose Luffy, and Tamanegi tells them about a strange man walking backwards.",[],"['Kaya', 'Usopp', 'Klahadore', 'Luffy', 'Zoro', 'Nami', 'Tamanegi', 'strange man', 'Usopp Pirates', 'Yasopp']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_25,Chapter 25 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
26,Captain Kuro's Plan,キャプテン･クロの一計,,,3,,"February 2, 1998 [ref]",1998 Issue 10,19,"Talking about their assassination plan in more detail, Jango reveals that Klahadore is actually a fake name, and he is in fact the previous captain of the Black Cat Pirates who faked his death, Kuro. In a rash attempt to stop them, Luffy reveals their presence and tells them to leave Kaya alone. Jango responds by putting Luffy to sleep using his hypnotism, only for Luffy to tilt forward and fall off the cliff.",[],"['Jango', 'Klahadore', 'Black Cat Pirates', 'Luffy', 'Kaya', 'Kuro', 'Usopp']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_26,Chapter 26 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
27,True Lies,筋,,,4,,"February 9, 1998 [ref]",1998 Issue 11,21,"Kaya and her servant are seen discussing Klahadore s mansion in an attempt to save her directly. However, she too believes it to be a lie, created as revenge for the harsh things Klahadore had said to Usopp earlier. With the villagers having caught up, and Kaya's servant holding a weapon to Usopp, the young man chooses to run instead.",[],"['Kaya', 'servant', 'Klahadore', 'Usopp', 'Usopp Pirates', 'Zoro', 'Nami', 'Luffy']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_27,Chapter 27 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
28,Crescent Moon,三日月,,,4,,"February 16, 1998 [ref]",1998 Issue 12,19,"Preparing for the oncoming pirate attack, Luffy, Zoro, Nami, and Usopp take upon themselves to protect the village and identify the path the pirates would have to take in order to get onto the island. At the mansion during a discussion between Merry and Klahadore, the latter grows impatient and reveals his true nature and attacks Merry. As morning arrives, the Black Cat Pirates begin their charge on the island where it is revealed Usopp guessed the wrong path and they were actually attacking from the north.",[],"['Luffy', 'Zoro', 'Nami', 'Usopp', 'Merry', 'Klahadore', 'Black Cat Pirates']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_28,Chapter 28 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
29,Uphill Battle,坂道,,,4,,"February 23, 1998 [ref]",1998 Issue 13,21,"Usopp arrives first to the other shore and tries to warn the Black Cat Pirates away with a bold lie. Not falling for it, they discover Nami 's treasure and claim it as their own. Just as Usopp is about to be hypnotized Nami herself arrives and saves him.",[],"['Usopp', 'Black Cat Pirates', 'Nami', 'Luffy', 'Zoro']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_29,Chapter 29 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
30,Backfire,GREAT !!!,,,4,,"March 2, 1998 [ref]",1998 Issue 14,19,"Back at the mansion, Kuro begins to grow impatient as the Black Cat Pirates had failed to arrive in the village, and leaves for the shore vowing to kill them if they had forgotten. At the shore, Jango hypnotizes the recovering pirates to become stronger than before, however Luffy also falls for the hypnotism and attacks the pirates in a rage, resulting in the destruction of the pirate ship 's bow. About to attack with the now separated bow, Jango quickly puts Luffy to sleep who then drops the bow onto himself and several other pirates.",[],"['Kuro', 'Black Cat Pirates', 'Jango', 'Luffy', 'pirate ship', 'Nami', 'Zoro', 'Usopp', 'two remaining fighters', 'Tamanegi', 'butler']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_30,Chapter 30 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
31,Truth,真実,,,4,,"March 9, 1998 [ref]",1998 Issue 15,19,"Kaya learns the truth and leaves the mansion to try to stop Kuro. Meanwhile at the cliff, two new Black Cat Pirates make their apparition: the Nyaban Brothers.",[],"['Kaya', 'Kuro', 'Black Cat Pirates', 'Nyaban Brothers']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_31,Chapter 31 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
32,Cruel Fortune,大凶,,,4,,"March 16, 1998 [ref]",1998 Issue 16,19,"Sham, having stolen two of Zoro s chest. Nami runs to retrieve Zoro's swords, but Jango stops her by throwing his disk at her. The disk cuts her shoulder, wounding her.",[],"['Sham', 'Zoro', 'Buchi', 'Usopp', 'Nami', 'Jango', 'Kuro', 'Black Cat Pirates']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_32,Chapter 32 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
33,The Creeping Cat,音無き男,,,4,,"March 23, 1998 [ref]",1998 Issue 17,19,"Kuro, having just arrived on the scene, wonders how the Black Cat Pirates could be having such problems from a bunch of children. Jango says that Kuro himself said that Usopp would not be a problem, and Sham and Buchi say that while Kuro was getting soft, they were out fighting. Sham and Buchi attack, but Kuro evades their attacks and states that he will kill everyone present if the Straw Hat Pirates are not dead in five minutes.",[],"['Kuro', 'Black Cat Pirates', 'Jango', 'Usopp', 'Sham', 'Buchi', 'Straw Hat Pirates', 'Zoro', 'Nami', 'Luffy']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_33,Chapter 33 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
34,A Humble Servant,執事クラハドール,,,4,,"March 30, 1998 [ref]",1998 Issue 18,19,"Luffy awakens, but the battle is suspended by the appearance of Kaya. Kuro does not want to negotiate as he believes he needs to kill Kaya to live a peaceful life, and as revenge for the boring years he had to endure.",[],"['Luffy', 'Kaya', 'Kuro']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_34,Chapter 34 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
35,The Steep Slope,ネオ坂道,,,4,,"April 6, 1998 [ref]",1998 Issue 19,19,"After Luffy 's punch, Kuro decides to take care of him while he asks Jango to take care of Kaya. Zoro is unable to prevent Jango from going after her because of the hypnotized Buchi. However, Usopp asks the Usopp Pirates to help her escape.",[],"['Luffy', 'Kuro', 'Jango', 'Kaya', 'Zoro', 'Buchi', 'Usopp', 'Usopp Pirates']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_35,Chapter 35 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
36,After Them!!,追え!!,,,5,,"April 13, 1998 [ref]",1998 Issue 20,21,"Usopp is unable to move anymore to protect Kaya but he has not lost his will. Zoro finally defeats Buchi and brings Usopp up on his back so they can catch up with Kaya and the children before Jango. Kuro tries to stop them but finding Luffy in his way, they start to fight each other.",[],"['Usopp', 'Kaya', 'Zoro', 'Buchi', 'Jango', 'Kuro', 'Luffy']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_36,Chapter 36 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
37,"Captain Kuro, of the Thousand Plans","海賊""百計のクロ""",,,5,,"April 20, 1998 [ref]",1998 Issue 21,19,"Luffy and Kuro begin their fight, and Kuro gains the upper hand at first. As his crewmates start to cheer him on, Kuro berates them. He then remembers when he decided to give up pirating, as the Marines were constantly chasing him.",[],"['Luffy', 'Kuro', 'his crewmates', 'Pirate King']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_37,Chapter 37 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
38,Pirate Crew,海賊団,,,5,,"April 27, 1998 [ref]",1998 Issue 22-23,20,"Kuro, laying on the ground after Luffy 's punch, stands up and is cheered on by his crew. Kuro lashes out at them, saying that he is going to kill everyone, even Jango, once he is done. In the forest, Jango is trying to hypnotize Kaya when he is ambushed by the Usopp Pirates.",[],"['Kuro', 'Luffy', 'his crew', 'Jango', 'Kaya', 'Usopp Pirates', 'Zoro', 'Usopp']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_38,Chapter 38 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
39,For Whom the Bell Tolls,誰が為に鐘は鳴る,,,5,,"May 11, 1998 [ref]",1998 Issue 24,19,"Kuro continues attacking his crew until Luffy tells him to fight him instead. Luffy ends up wrapping his elongated limbs around Kuro so that he cannot escape and wins their fight by using a headbutt. At the same time, Jango is about to kill Kaya after beating Usopp Pirates.",[],"['Kuro', 'Jango', 'Kaya', 'Usopp Pirates', 'Usopp', 'Zoro']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_39,Chapter 39 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
40,Usopp's Pirate Crew,ウソップ海賊団,,,5,,"May 18, 1998 [ref]",1998 Issue 25,19,"Luffy finishes his fight with Kuro and tosses him at the rest of the Black Cat Pirates, forcing them to leave the island, never to return. Usopp asks of Kaya and the Usopp Pirates to keep everything that had happened that morning a secret so that the villagers can continue their peaceful lives, free of fear from pirates. They all agree to keep everything a secret.",[],"['Usopp', 'Usopp Pirates']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_40,Chapter 40 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
41,To the Sea,海へ,,,5,,"May 25, 1998 [ref]",1998 Issue 26,18,"As thanks for their help, Kaya and Merry are giving a ship to the crew: the Going Merry. Usopp has made his luggage to become a pirate captain, but Luffy and the others propose to him to join them instead. After their departure, Merry tells Kaya about Usopp's childhood through a flashback.",[],"['Kaya', 'Merry', 'Going Merry', 'Usopp', 'Luffy']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_41,Chapter 41 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
42,Yosaku and Johnny,ヨサクとジョニー,,,5,,"June 1, 1998 [ref]",1998 Issue 27,19,"The new member Usopp shows his talent by drawing the Jolly Roger for the Going Merry 's sail, and being able to shoot accurately with the cannon. The crew then debates what to look for in their next crew member before setting off to search for a cook of the sea.",[],"['Usopp', 'Jolly Roger', 'Going Merry']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_42,Chapter 42 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
43,Sanji,サンジ登場,,,5,,"June 8, 1998 [ref]",1998 Issue 28,19,"The Straw Hat Pirates arrive at the Baratie restaurant, where they come into conflict with the Marine Lieutenant Fullbody which results in Luffy indirectly damaging the nearby restaurant. While inside the Baratie, Fullbody attempts to impress his date, only for the Sous Chef serving them to make a fool out of the man. Meanwhile, Luffy tries to negotiate with the Head Chef about the damage inflicted upon his restaurant by the young boy.",[],"['Straw Hat Pirates', 'Baratie', 'Marine', 'Lieutenant', 'Fullbody', 'Luffy', 'Sous Chef', 'Head Chef']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_43,Chapter 43 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
44,Three Tough Cooks,三人のコック,,,5,,"June 15, 1998 [ref]",1998 Issue 29,20,"Deciding on how Luffy can repay the damages done to his restaurant, things quickly become violent when Luffy refuses the conditions. Meanwhile, the Baratie's staff walk in on Sanji holding a bloodied Fullbody off the ground, and after Zeff and Luffy crash down Fullbody is forced to leave. However one of his men arrives in a panic, and reports that a prisoner has escaped before said prisoner arrives, demanding food from the staff.",[],"['Luffy', 'restaurant', 'staff', 'Sanji', 'Fullbody', 'Zeff', 'prisoner']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_44,Chapter 44 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
45,Before the Storm,嵐前,,,6,,"June 22, 1998 [ref]",1998 Issue 30,18,Sanji refuses to leave the restaurant to become a pirate. Gin departs to rejoin his crew.,[],"['Sanji', 'Gin', 'crew']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_45,Chapter 45 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
46,An Uninvited Guest,招かれざる客,,,6,,"June 29, 1998 [ref]",1998 Issue 31,19,"Sanji makes his show with the ladies. Two days after Gin 's departure, Don Krieg arrives at the restaurant starving and begging for food.",[],"['Sanji', 'Gin', 'Don Krieg']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_46,Chapter 46 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
47,The Don's Offer,"海賊艦隊提督""首領･クリーク""",,,6,,"July 6, 1998 [ref]",1998 Issue 32,19,As the Baraties armor. Krieg threatens the chefs to obey him when Zeff arrives with a pack of food sufficient for 100 men. Then he reveals the reason for the pirates pitiful state - they are survivors from the Grand Line.,[],"['Don Krieg', 'Gin', 'Sanji', 'Patty', 'Zeff', 'Grand Line']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_47,Chapter 47 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
48,Steer Clear,その航路、やめときな,,,6,,"July 13, 1998 [ref]",1998 Issue 33,19,"Don Krieg is surprised to learn that Zeff is alive. Knowing that Zeff is an infamous former pirate who journeyed to the Grand Line and returned safely, Don Krieg inquires about the journal Zeff maintained while traveling. When Zeff refuses to hand over the journal, Don Krieg announces his intention to steal the journal along with the ship.",[],"['Don Krieg', 'Zeff', 'pirate', 'Grand Line', 'ship', 'Baratie', 'Luffy', 'Pirate King', 'Straw Hats', 'Gin', 'Hawk-Eye', 'Zoro']",[],[],[],https://onepiece.fandom.com/wiki/Chapter_48,Chapter 48 (One Piece Wiki),One Piece Wiki contributors,CC BY-SA
